config,dipole_l,dipole_m,dipole_h,muL_SCEE,delta_mu,mu_liquid,,,,,,,
37,2.3393,2.6393,2.982,2.52070141861057,0.942150419718676,2.63215041971868,,,2.54077782902295,,0.21617630823581,0.0406586797840337,1.71744285714286
166,2.3377,2.6431,2.996,2.5227891004285,0.944239384441998,2.634239384442,,,2.54565737355348,,0.201390641264233,0.0452292105325895,1.72686326530612
78,2.3633,2.6259,2.9165,2.52463347004318,0.94608488744382,2.63608488744382,,,2.53657579382793,,0.232667255464781,0.0266614293665793,1.7673
55,2.3452,2.64,2.9488,2.53093446128452,0.952389750719482,2.64238975071948,,,2.53733842903541,,0.341962905718701,0.0133307146832895,1.58005714285714
165,2.344,2.6445,2.9631,2.53428180109871,0.955739147513946,2.64573914751395,,,2.54276865900568,,0.330834227044758,0.0172347096976817,1.58516326530612
101,2.3451,2.6659,3.036,2.55348519271144,0.974954339840026,2.66495433984003,,,2.57965520891022,,0.21430345708608,0.0469431595632981,1.70018163265306
198,2.3549,2.662,3.0218,2.55399761640971,0.975467078428772,2.66546707842877,,,2.58113730241911,,0.179645853704694,0.0501806188435259,1.76785918367347
159,2.3589,2.663,2.9968,2.56193607337396,0.983410413669578,2.67341041366958,,,2.57687457911213,,0.282061240261169,0.0282801590066936,1.65369591836735
64,2.3802,2.6592,2.9688,2.56881302785899,0.990291594125217,2.68029159412522,,,2.58347758516522,,0.243253793016432,0.0291371335220475,1.7516693877551
31,2.3736,2.6654,3.004,2.56960707858303,0.991086132802914,2.68108613280291,,,2.59320836264166,,0.185865690944072,0.0445626747984254,1.79776326530613
48,2.3694,2.6686,3.004,2.57312845061491,0.994609668759932,2.68460966875993,,,2.5915748547487,,0.245185786834052,0.0344694193953632,1.71401224489796
172,2.3679,2.6684,2.9865,2.57550153647221,0.996984212906818,2.68698421290682,,,2.58432784064461,,0.333150648203639,0.0167586127447069,1.60630816326531
111,2.3592,2.6774,3.0206,2.58065749360712,1.00214333843893,2.69214333843893,,,2.59397389111709,,0.323293536889252,0.0238048476487315,1.58781224489796
161,2.4009,2.6645,2.9424,2.58756730236212,1.00905739335388,2.69905739335388,,,2.59424159451262,,0.297517190802129,0.0136163728550748,1.72655306122449
44,2.3929,2.6678,2.9558,2.5878709531485,1.00936123073729,2.69936123073729,,,2.59413534902262,,0.318670551682807,0.0124737401679351,1.67965510204082
88,2.3466,2.6973,3.1185,2.59185130310758,1.01334402666893,2.70334402666893,,,2.63620072632791,,0.157349067911549,0.067129670369423,1.73306938775511
22,2.3927,2.6777,2.9842,2.59812695455238,1.01962353457645,2.70962353457645,,,2.60889435830477,,0.293692631612151,0.0204721689779088,1.69688367346939
52,2.3766,2.6865,3.026,2.60031578964711,1.02181371473647,2.71181371473647,,,2.61625657181911,,0.290528498880234,0.0281849396160975,1.65427346938775
68,2.3934,2.6855,2.9902,2.60951582148132,1.03101940010005,2.72101940010005,,,2.61595409159159,,0.344722896886728,0.0119976432149608,1.62825714285715
106,2.3661,2.7023,3.0779,2.6151744963047,1.03668155224665,2.72668155224665,,,2.63859867295836,,0.281420528025739,0.0375164398944004,1.6226306122449
2,2.4129,2.6953,3,2.62837368873344,1.04988885573668,2.73988885573668,,,2.63987726615479,,0.286398369239503,0.0212339241026685,1.72892040816327
30,2.422,2.693,2.9779,2.63009045750931,1.05160667948745,2.74160667948745,,,2.63702265702538,,0.30958229505094,0.0132354952926948,1.72430612244898
104,2.3735,2.7138,3.1145,2.63193762206518,1.05345497914799,2.74345497914799,,,2.67000375745939,,0.189788821247199,0.0575125119193351,1.7340306122449
16,2.3859,2.7109,3.0576,2.63915287596336,1.06067466690581,2.75067466690581,,,2.65169874396632,,0.347965886509164,0.0206626077590986,1.5769
87,2.3945,2.7154,3.0211,2.64581590573897,1.06734179119274,2.75734179119274,,,2.64581590573897,,0.51325978614011,-0.0144733473704281,1.39388775510204
118,2.4154,2.7086,3.0189,2.64752849492659,1.06905543278686,2.75905543278686,,,2.6566885762255,,0.325393101599217,0.0162825157917322,1.67191020408163
10,2.4174,2.7106,3.0214,2.65086018940782,1.07238917463411,2.76238917463411,,,2.66032161019623,,0.323076680440334,0.0167586127447073,1.67666530612245
99,2.4321,2.7095,3.0034,2.65435259565405,1.07588372700567,2.76588372700567,,,2.6629181165858,,0.306368876762448,0.0157111994481633,1.73044693877552
129,2.4085,2.7173,3.0551,2.65564521647073,1.07717714215327,2.76717714215327,,,2.67213009750668,,0.29179020912847,0.0276136232725289,1.68601020408164
158,2.4185,2.7168,3.0254,2.66073567081011,1.0822707246376,2.7722707246376,,,2.66633821948922,,0.363934406838471,0.00980759723127705,1.6229693877551
177,2.4192,2.7222,3.0425,2.66770224145532,1.08924157632362,2.77924157632362,,,2.67735187131246,,0.337990489859002,0.0164729545729223,1.64881224489796
115,2.4287,2.7221,3.0397,2.66956320935065,1.09110368780594,2.78110368780594,,,2.68288221914714,,0.292775920259913,0.0230430925239717,1.7237612244898
164,2.4189,2.7277,3.0504,2.67603141508341,1.09757586832832,2.78757586832832,,,2.68391045676506,,0.361746128126677,0.0132354952926944,1.61320612244898
155,2.4183,2.7477,3.1095,2.70501448321117,1.12657674689737,2.81657674689737,,,2.72518366399325,,0.304466454278774,0.0308510825527559,1.65568775510204
25,2.4704,2.7595,2.9854,2.70723023219306,1.12879385748346,2.81879385748346,,,2.70723023219306,,0.691752357821026,-0.0601786548559927,1.29615510204082
156,2.4239,2.7532,3.1094,2.71595219688221,1.13752118192401,2.82752118192401,,,2.73266252934964,,0.329809087468062,0.025614016070035,1.63126734693878
