config,dipole_l,dipole_m,dipole_h,muL_SCEE,delta_mu,mu_liquid
166,2.3377,2.6431,2.996,2.5227891004284997,0.9442393844419976,2.6342393844419973
79,2.1161,2.347,2.6114,2.1354627775202006,0.556675044885256,2.246675044885256
150,2.5424,2.8582,3.1861,2.908936992636537,1.3306245691387468,3.0206245691387466
61,2.2981,2.5737,2.8746,2.4327482407222574,0.8541431935527639,2.544143193552764
185,2.1897,2.3936,2.6131,2.2345114260984067,0.6557845600402292,2.3457845600402294
157,2.4351,2.7622,3.1192,2.7330470303093475,1.154626520330335,2.844626520330335
55,2.3452,2.64,2.9488,2.530934461284517,0.9523897507194816,2.642389750719482
18,2.2323,2.4989,2.7931,2.3215885521600614,0.7429151960351763,2.432915196035176
168,2.4779,2.7982,3.1562,2.800982517334964,1.2226037545235873,2.9126037545235874
109,2.5235,2.8956,3.2998,3.0147768221839475,1.4365294385246876,3.1265294385246873
191,1.9867,2.1789,2.4295,1.963232464339662,0.3843388941215762,2.074338894121576
139,2.3281,2.6138,2.9107,2.493587367029304,0.9150197062290844,2.6050197062290845
114,2.2435,2.511,2.7987,2.3410448945757785,0.7623834946055335,2.4523834946055336
34,2.6495,3.0536,3.475,3.4102601369339056,1.832255782491935,3.5222557824919347
62,2.1582,2.3776,2.6086,2.195141580971129,0.6163905216732137,2.3063905216732135
3,2.339,2.5407,2.8541,2.4232653527379284,0.8446544782205836,2.5346544782205838
162,2.2608,2.5223,2.8009,2.3650766110954535,0.7864299789018452,2.4764299789018454
100,1.7863,1.867,1.9767,1.7606521175918564,0.18163405933275345,1.8716340593327534
1,2.2471,2.518,2.8127,2.3481045476377767,0.7694474859085998,2.4594474859085995
124,2.106,2.317,2.5453,2.11984833620853,0.5410510083130295,2.2310510083130293
87,2.3945,2.7154,3.0211,2.6458159057389667,1.0673417911927403,2.75734179119274
36,2.4724,2.8312,3.238,2.87227065902676,1.2939357036293277,2.983935703629328
72,1.9014,2.1247,2.3895,1.838777247313679,0.2598071978792691,1.949807197879269
67,2.1907,2.4316,2.687,2.248594838499906,0.6698766268667449,2.359876626866745
33,1.9186,2.0838,2.2726,1.8788814313108044,0.2999360263761328,1.9899360263761328
175,2.3114,2.5549,2.8127,2.4306755689424104,0.8520692480913696,2.5420692480913694
119,2.1872,2.4374,2.7092,2.245769539265393,0.6670495914521302,2.35704959145213
148,2.3188,2.5454,2.7753,2.4312177398174493,0.8526117521368823,2.5426117521368825
103,2.5286,2.8604,3.2127,2.9194061611517714,1.3411001710829906,3.031100171082991
14,2.5271,2.84,3.1706,2.8761044872680235,1.297771887803805,2.987771887803805
68,2.3934,2.6855,2.9902,2.6095158214813248,1.0310194001000548,2.7210194001000545
38,2.625,3.0103,3.4193,3.2832494295483436,1.7051670255107212,3.3951670255107214
118,2.4154,2.7086,3.0189,2.6475284949265925,1.0690554327868627,2.7590554327868624
106,2.3661,2.7023,3.0779,2.615174496304698,1.036681552246647,2.7266815522466468
21,2.5486,2.917,3.3082,3.054392998233506,1.4761699591872761,3.1661699591872763
17,2.7819,3.2224,3.6828,3.9968091000630706,2.4191651869598223,4.109165186959823
76,2.2628,2.5478,2.8731,2.3794014859083643,0.8007636565213063,2.490763656521306
170,2.3254,2.6381,3.0299,2.502215104710743,0.9236527457583066,2.6136527457583068
113,2.2312,2.4672,2.7197,2.306176547591047,0.7274937206054009,2.4174937206054006
84,2.1095,2.345,2.6264,2.125919629960184,0.5471260329471594,2.2371260329471596
194,2.4407,2.785,3.1601,2.7751272504109927,1.1967325992294902,2.8867325992294903
73,1.9478,2.1283,2.3408,1.912774635848647,0.33385005869270334,2.0238500586927035
120,2.2238,2.4618,2.7131,2.2966963551592747,0.7180077024822265,2.4080077024822266
59,2.3243,2.5729,2.8357,2.4542004808231743,0.8756086163112704,2.5656086163112706
58,2.7116,3.1092,3.5261,3.5352975548078875,1.957370037351611,3.647370037351611
200,2.3023,2.5881,2.9274,2.442292645874276,0.8636934638556675,2.5536934638556676
49,2.4631,2.7598,3.0738,2.7342415331277037,1.1558217571849305,2.8458217571849307
11,2.112,2.313,2.5457,2.126404054647549,0.5476107553192768,2.2376107553192766
123,2.4704,2.8105,3.1608,2.8245811034145105,1.2462168422159456,2.936216842215946
199,2.2041,2.4774,2.7781,2.2805306504470098,0.701832063751467,2.391832063751467
125,2.5094,2.8592,3.2371,2.924809153127889,1.3465064832621658,3.0365064832621655
