config,dipole_l,dipole_m,dipole_h,muL_SCEE
107,2.4885,2.8467,3.2691,2.9087187625382387
189,2.3133,2.6047,2.9221,2.4713017647207836
64,2.3802,2.6592,2.9688,2.568813027858985
173,2.4425,2.7564,3.122,2.722775713435956
126,2.4435,2.8028,3.2163,2.811695572595993
161,2.4009,2.6645,2.9424,2.587567302362119
181,2.2006,2.4122,2.6418,2.2519135439819387
160,2.555,2.893,3.2464,2.9833615931882354
92,2.5583,2.8953,3.2753,2.9967654845791993
30,2.422,2.693,2.9779,2.630090457509309
146,2.2015,2.4526,2.7268,2.267517267568356
