Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
298.0,7.4,997.37,0.0010026,1.8762,1.8895,6.5743,74.511,75.295,1497.4,-0.022155,892.98,0.60663,liquid
298.0,7.5,997.38,0.0010026,1.8761,1.8897,6.5743,74.511,75.295,1497.4,-0.022155,892.98,0.60664,liquid
298.0,7.6,997.38,0.0010026,1.8761,1.8899,6.5742,74.51,75.294,1497.4,-0.022155,892.98,0.60664,liquid
298.0,7.7,997.39,0.0010026,1.8761,1.89,6.5742,74.509,75.294,1497.4,-0.022155,892.98,0.60665,liquid
298.0,7.8,997.39,0.0010026,1.8761,1.8902,6.5742,74.509,75.293,1497.4,-0.022155,892.98,0.60666,liquid
298.0,7.9,997.4,0.0010026,1.8761,1.8904,6.5741,74.508,75.293,1497.5,-0.022155,892.97,0.60666,liquid
298.0,8.0,997.4,0.0010026,1.8761,1.8905,6.5741,74.508,75.292,1497.5,-0.022155,892.97,0.60667,liquid
298.0,8.1,997.41,0.0010026,1.8761,1.8907,6.574,74.507,75.292,1497.5,-0.022155,892.97,0.60667,liquid
298.0,8.2,997.41,0.0010026,1.876,1.8909,6.574,74.506,75.291,1497.5,-0.022155,892.97,0.60668,liquid
298.0,8.3,997.41,0.0010026,1.876,1.891,6.5739,74.506,75.291,1497.5,-0.022155,892.97,0.60668,liquid
298.0,8.4,997.42,0.0010026,1.876,1.8912,6.5739,74.505,75.29,1497.5,-0.022155,892.97,0.60669,liquid
298.0,8.5,997.42,0.0010026,1.876,1.8914,6.5738,74.505,75.29,1497.6,-0.022155,892.97,0.6067,liquid
298.0,8.6,997.43,0.0010026,1.876,1.8915,6.5738,74.504,75.289,1497.6,-0.022155,892.96,0.6067,liquid
298.0,8.7,997.43,0.0010026,1.876,1.8917,6.5737,74.503,75.289,1497.6,-0.022155,892.96,0.60671,liquid
298.0,8.8,997.44,0.0010026,1.876,1.8919,6.5737,74.503,75.288,1497.6,-0.022155,892.96,0.60671,liquid
298.0,8.9,997.44,0.0010026,1.8759,1.892,6.5736,74.502,75.287,1497.6,-0.022155,892.96,0.60672,liquid
298.0,9.0,997.45,0.0010026,1.8759,1.8922,6.5736,74.502,75.287,1497.6,-0.022155,892.96,0.60672,liquid
298.0,9.1,997.45,0.0010026,1.8759,1.8924,6.5735,74.501,75.286,1497.7,-0.022155,892.96,0.60673,liquid
