700,5,1.5564,0.64252,54.181,59.969,141.92,29.402,37.986,642.43,0.66425,25.558,0.05817,vapor,1.008631402,1.001318763,1.8489,1.85561948751542,0.0235533333333333,0.00671948751541995
700,10,3.1305,0.31943,54.087,59.842,136.02,29.629,38.495,640.55,0.66387,25.555,0.058664,vapor,1.017432039,1.002682468,1.8505,1.85498560045971,0.0335022222222222,0.00448560045971003
700,20,6.3346,0.15786,53.895,59.583,129.98,30.103,39.571,636.71,0.66265,25.553,0.059686,vapor,1.035569634,1.005550321,1.8539,1.8556112694896,0.0541577777777778,0.00171126948959999
700,50,16.442,0.060818,53.286,58.765,121.48,31.678,43.318,624.59,0.65536,25.582,0.063054,vapor,1.094813037,1.015384801,1.8645,1.87182979639302,0.121348888888889,0.01222088394189
700,100,35.355,0.028285,52.145,57.241,114.05,34.838,51.779,602.2,0.63228,25.773,0.069997,vapor,1.214477361,1.036821044,1.885,1.90918631509227,0.245811111111111,0.0334398901769899
700,200,86.38,0.011577,49.186,53.357,103.84,43.266,84.474,547.76,0.55004,27.053,0.093941,vapor,1.602654121,1.11164752,1.9326,1.98044888035726,0.585695555555555,0.0700255555511997
700,500,491.03,0.0020365,35.565,37.399,77.401,51.967,149.76,639.75,0.10222,59,0.38452,supercritical,8.963134708,2.002912104,2.1149,2.25183506800796,1.5481,0.15173868353646
700,1000,651.77,0.0015343,31.916,34.68,71.32,49.61,91.576,1020,0.021155,79.123,0.50887,supercritical,13.75430778,2.299132924,2.1338,2.31690080328174,1.82741555555556,0.19617689556447
700,2000,766.01,0.0013055,29.444,34.148,66.96,49.465,76.357,1392.3,-0.0027045,98.616,0.63622,supercritical,17.60082059,2.464746137,2.1418,2.34871266894957,2.06336666666667,0.21220581082461
700,5000,916.02,0.0010917,26.606,36.439,61.141,50.315,67.436,1970.5,-0.015188,131.71,0.88258,supercritical,23.17085291,2.640635688,2.1488,2.42554269028268,2.37923333333333,0.26085141123739
800,1,0.27102,3.6897,57.24,63.887,160.5,30.431,38.778,685.47,0.45167,29.657,0.069908,vapor,1.001331647,1.000247315,1.8475,1.85557083316178,0.0152,0.00807083316178003
800,2,0.54241,1.8436,57.227,63.87,154.72,30.455,38.836,685.25,0.45158,29.659,0.069983,vapor,1.002666874,1.000495705,1.8477,1.85566428946903,0.0136133333333333,0.00796428946903016
800,5,1.3587,0.73599,57.188,63.817,147.06,30.528,39.009,684.59,0.45128,29.667,0.070209,vapor,1.00669364,1.001247252,1.8485,1.85598281415813,0.0178977777777778,0.00748281415813001
800,10,2.7265,0.36677,57.121,63.729,141.21,30.651,39.301,683.48,0.45077,29.68,0.070591,vapor,1.013477043,1.002521429,1.8498,1.85606659363729,0.0235977777777778,0.00626659363728987
800,20,5.4901,0.18215,56.988,63.55,135.28,30.901,39.903,681.24,0.44963,29.71,0.071374,vapor,1.027321801,1.005152206,1.8524,1.85678100517876,0.0362466666666667,0.00438100517876006
800,50,14.017,0.071343,56.576,63.002,127.14,31.683,41.848,674.39,0.44532,29.824,0.07388,vapor,1.071241377,1.013734231,1.8604,1.86687498807706,0.0749977777777778,0.00488664655680005
800,100,29.107,0.034356,55.851,62.04,120.46,33.089,45.603,662.61,0.43529,30.101,0.078664,vapor,1.153643566,1.03056652,1.8744,1.87717098071236,0.145415555555556,0.0119760580978399
800,200,63.396,0.015774,54.243,59.926,112.65,36.229,55.456,638.5,0.40508,31.057,0.091266,vapor,1.365376496,1.075865297,1.9051,1.91921517751348,0.270051111111111,0.02329120495612
800,500,218.07,0.0045857,48.087,52.217,97.281,45.393,106.36,595.46,0.25087,39.376,0.17772,supercritical,2.843989673,1.362035457,2.0166,2.07936804719134,0.788215555555556,0.0511477017697999
800,1000,482.23,0.0020737,40.7,44.435,84.331,47.143,101.08,813.97,0.065939,61.842,0.37117,supercritical,7.562351886,1.927233501,2.1052,2.21749159036391,1.33348888888889,0.10075302028621
