config,dipole_l,dipole_m,dipole_h,muL_SCEE
131,2.2088,2.4798,2.7715,2.288004907351653
139,2.2434,2.539,5.7591,2.1421817985087293
147,2.5601,5.4186,7.7386,1.845209398211957
132,2.2342,2.516,2.8237,2.3335330172608053
167,2.4371,2.7864,3.2069,2.7766603753053563
82,2.1025,10.5751,8.1734,1.4919939853702098
155,2.4444,2.7691,3.1127,2.7469797685493647
123,2.4212,2.7502,3.095,2.7114358923139474
125,2.2055,2.5291,7.4899,2.1080661397543006
71,2.2946,2.6067,4.0195,2.2708030269266226
191,2.4113,2.7112,3.3776,2.5882435263164956
174,2.3715,4.9408,2.1653,3.1138416797545103
39,2.1552,2.4166,4.5997,2.1154387128653522
88,2.4166,2.7579,3.1509,2.720313626938915
90,2.4811,2.8283,4.0584,-0.9131786908295518
107,2.3119,2.6337,6.9441,2.150831046912619
63,2.3231,2.6417,8.3173,2.1347241448835788
